Freq.	V(Vo1,Vo2)/0.375
9.00000000000000e+000	(2.55098989578773e+001dB,5.66129287157612e+001°)
9.02074714270110e+000	(2.55253100055549e+001dB,5.65704546424507e+001°)
9.04154211250556e+000	(2.55407059889906e+001dB,5.65278823751042e+001°)
9.06238501966624e+000	(2.55560868638464e+001dB,5.64852120841903e+001°)
9.08327597469016e+000	(2.55714525858134e+001dB,5.64424439412325e+001°)
9.10421508833909e+000	(2.55868031106114e+001dB,5.63995781188054e+001°)
9.12520247163011e+000	(2.56021383939897e+001dB,5.63566147905466e+001°)
9.14623823583626e+000	(2.56174583917285e+001dB,5.63135541311481e+001°)
9.16732249248705e+000	(2.56327630596391e+001dB,5.62703963163664e+001°)
9.18845535336912e+000	(2.56480523535665e+001dB,5.62271415230216e+001°)
9.20963693052678e+000	(2.56633262293876e+001dB,5.61837899289985e+001°)
9.23086733626267e+000	(2.56785846430139e+001dB,5.61403417132516e+001°)
9.25214668313826e+000	(2.56938275503919e+001dB,5.60967970558030e+001°)
9.27347508397454e+000	(2.57090549075049e+001dB,5.60531561377472e+001°)
9.29485265185257e+000	(2.57242666703718e+001dB,5.60094191412535e+001°)
9.31627950011409e+000	(2.57394627950505e+001dB,5.59655862495670e+001°)
9.33775574236211e+000	(2.57546432376364e+001dB,5.59216576470060e+001°)
9.35928149246153e+000	(2.57698079542652e+001dB,5.58776335189750e+001°)
9.38085686453973e+000	(2.57849569011130e+001dB,5.58335140519507e+001°)
9.40248197298719e+000	(2.58000900343974e+001dB,5.57892994334995e+001°)
9.42415693245809e+000	(2.58152073103787e+001dB,5.57449898522693e+001°)
9.44588185787089e+000	(2.58303086853593e+001dB,5.57005854979921e+001°)
9.46765686440900e+000	(2.58453941156873e+001dB,5.56560865614915e+001°)
9.48948206752132e+000	(2.58604635577547e+001dB,5.56114932346773e+001°)
9.51135758292292e+000	(2.58755169680003e+001dB,5.55668057105502e+001°)
9.53328352659559e+000	(2.58905543029101e+001dB,5.55220241832044e+001°)
9.55526001478851e+000	(2.59055755190175e+001dB,5.54771488478256e+001°)
9.57728716401884e+000	(2.59205805729053e+001dB,5.54321799006938e+001°)
9.59936509107231e+000	(2.59355694212062e+001dB,5.53871175391893e+001°)
9.62149391300391e+000	(2.59505420206034e+001dB,5.53419619617853e+001°)
9.64367374713845e+000	(2.59654983278322e+001dB,5.52967133680590e+001°)
9.66590471107119e+000	(2.59804382996806e+001dB,5.52513719586807e+001°)
9.68818692266850e+000	(2.59953618929904e+001dB,5.52059379354310e+001°)
9.71052050006845e+000	(2.60102690646585e+001dB,5.51604115011845e+001°)
9.73290556168143e+000	(2.60251597716372e+001dB,5.51147928599262e+001°)
9.75534222619082e+000	(2.60400339709350e+001dB,5.50690822167412e+001°)
9.77783061255358e+000	(2.60548916196192e+001dB,5.50232797778202e+001°)
9.80037084000089e+000	(2.60697326748148e+001dB,5.49773857504652e+001°)
9.82296302803879e+000	(2.60845570937069e+001dB,5.49314003430826e+001°)
9.84560729644883e+000	(2.60993648335412e+001dB,5.48853237651880e+001°)
9.86830376528865e+000	(2.61141558516255e+001dB,5.48391562274050e+001°)
9.89105255489267e+000	(2.61289301053295e+001dB,5.47928979414723e+001°)
9.91385378587272e+000	(2.61436875520871e+001dB,5.47465491202342e+001°)
9.93670757911864e+000	(2.61584281493971e+001dB,5.47001099776505e+001°)
9.95961405579898e+000	(2.61731518548233e+001dB,5.46535807287912e+001°)
9.98257333736159e+000	(2.61878586259966e+001dB,5.46069615898385e+001°)
1.00055855455343e+001	(2.62025484206159e+001dB,5.45602527780943e+001°)
1.00286508023255e+001	(2.62172211964480e+001dB,5.45134545119709e+001°)
1.00517692300250e+001	(2.62318769113310e+001dB,5.44665670109922e+001°)
1.00749409512043e+001	(2.62465155231726e+001dB,5.44195904958033e+001°)
1.00981660887176e+001	(2.62611369899520e+001dB,5.43725251881611e+001°)
1.01214447657023e+001	(2.62757412697228e+001dB,5.43253713109425e+001°)
1.01447771055796e+001	(2.62903283206111e+001dB,5.42781290881353e+001°)
1.01681632320552e+001	(2.63048981008190e+001dB,5.42307987448488e+001°)
1.01916032691200e+001	(2.63194505686234e+001dB,5.41833805073084e+001°)
1.02150973410508e+001	(2.63339856823797e+001dB,5.41358746028543e+001°)
1.02386455724109e+001	(2.63485034005201e+001dB,5.40882812599472e+001°)
1.02622480880505e+001	(2.63630036815565e+001dB,5.40406007081618e+001°)
1.02859050131079e+001	(2.63774864840818e+001dB,5.39928331781944e+001°)
1.03096164730098e+001	(2.63919517667682e+001dB,5.39449789018526e+001°)
1.03333825934719e+001	(2.64063994883719e+001dB,5.38970381120695e+001°)
1.03572035004999e+001	(2.64208296077317e+001dB,5.38490110428889e+001°)
1.03810793203898e+001	(2.64352420837712e+001dB,5.38008979294737e+001°)
1.04050101797289e+001	(2.64496368754988e+001dB,5.37526990081052e+001°)
1.04289962053961e+001	(2.64640139420104e+001dB,5.37044145161785e+001°)
1.04530375245631e+001	(2.64783732424888e+001dB,5.36560446922065e+001°)
1.04771342646944e+001	(2.64927147362061e+001dB,5.36075897758206e+001°)
1.05012865535486e+001	(2.65070383825233e+001dB,5.35590500077641e+001°)
1.05254945191788e+001	(2.65213441408933e+001dB,5.35104256298971e+001°)
1.05497582899331e+001	(2.65356319708600e+001dB,5.34617168851934e+001°)
1.05740779944557e+001	(2.65499018320601e+001dB,5.34129240177438e+001°)
1.05984537616872e+001	(2.65641536842258e+001dB,5.33640472727477e+001°)
1.06228857208655e+001	(2.65783874871831e+001dB,5.33150868965213e+001°)
